,Region,Domain
0,abruzzo,"www.ilcentro.it
"
1,abruzzo,www.ilcentro.it
2,abruzzo,ilgiornaledabruzzo.it
3,abruzzo,www.ilmessaggero.it
4,abruzzo,www.lacittaquotidiano.it
5,abruzzo,www.ilcentro.it
6,abruzzo,www.ilcentro.it
7,abruzzo,www.ilcentro.it
8,abruzzo,www.ilcentro.it
9,abruzzo,www.primadanoi.it
10,abruzzo,"www.ilcapoluogo.com
"
11,abruzzo,www.pagineabruzzo.it
12,abruzzo,www.cityrumors.it
13,abruzzo,www.abruzzoweb.it
14,abruzzo,www.teramonews.com
15,abruzzo,www.ilcentro.it
16,abruzzo,www.ilcentro.it
17,abruzzo,www.ilcentro.it
18,abruzzo,www.ilcentro.it
19,abruzzo,
20,abruzzo,www.vastoweb.com
21,abruzzo,www.pescaracalcio.com
22,basilicata,www.quotidianodelsud.it
23,basilicata,www.quotidianodelsud.it
24,basilicata,www.lagazzettadelmezzogiorno.it
25,basilicata,www.lagazzettadelmezzogiorno.it
26,basilicata,"www.basilicatanet.it
"
27,basilicata,basilicata24.it
28,basilicata,www.basilicatanews.it
29,basilicata,www.basilicatanotizie.net
30,basilicata,www.basilicatamagazine.it
31,basilicata,it.geosnews.com
32,basilicata,www.giornaledibasilicata.com
33,basilicata,argomenti.ilsole24ore.com
34,basilicata,www.lalucania.eu
35,basilicata,www.ecodibasilicata.it
36,basilicata,www.lucanianet.it
37,basilicata,www.lasiritide.it
38,basilicata,www.nuovadelsud.it
39,basilicata,247.libero.it
40,basilicata,247.libero.it
41,basilicata,www.materalife.it
42,basilicata,www.potenzanews.net
43,basilicata,www.sassiland.com
44,calabria,"www.quotidianodelsud.it
"
45,calabria,www.quotidianodelsud.it
46,calabria,www.gazzettadelsud.it
47,calabria,www.gazzettadelsud.it
48,calabria,www.gazzettadelsud.it
49,calabria,www.giornaledicalabria.it
50,calabria,www.corrieredelsud.it
51,calabria,www.corrieredelsud.it
52,calabria,www.repubblica.it
53,calabria,www.ilcrotonese.it
54,calabria,www.nuovacosenza.com
55,calabria,www.lavocecosentina.it
56,calabria,www.quicosenza.it
57,calabria,www.corrieredelsud.it
58,calabria,www.corrieredelsud.it
59,calabria,www.corrieredelsud.it
60,calabria,www.corrieredelsud.it
61,calabria,www.gazzettadelsud.it
62,campania,"www.ilmattino.it
"
63,campania,www.ildispari.it
64,campania,napoli.repubblica.it
65,campania,corrieredelmezzogiorno.corriere.it
66,campania,www.gazzettadinapoli.it
67,campania,www.napolitoday.it
68,campania,www.napoligiornalegratuito.it
69,campania,www.ilroma.net
70,campania,www.napoliflash24.it
71,campania,www.tgcom24.mediaset.it
72,campania,www.tuttonapoli.net
73,campania,www.areanapoli.it
74,campania,www.vesuviolive.it
75,campania,amalfinotizie.it
76,campania,www.gazzetta.it
77,campania,www.sscnapoli.it
78,campania,www.quotidianodelsud.it
79,campania,"www.cronachedellacampania.it
"
80,campania,www.campanianotizie.com
81,campania,"www.vesuviolive.it
"
82,campania,"amalfinotizie.it
"
83,campania,www.ilvescovado.it
84,campania,"www.ilcorrierino.com
"
85,campania,corrieredelmezzogiorno.corriere.it
86,campania,corrieredelmezzogiorno.corriere.it
87,campania,lacittadisalerno.repubblica.it
88,campania,"www.salernotoday.it
"
89,campania,www.ottopagine.it
90,campania,www.salernonotizie.it
91,campania,www.ilquaderno.it
92,campania,www.ntr24.tv
93,campania,www.ilsannioquotidiano.it
94,campania,www.beneventogiornale.com
95,campania,www.realtasannita.it
96,emilia_romagna,www.ilrestodelcarlino.it
97,emilia_romagna,bologna.repubblica.it
98,emilia_romagna,corrieredibologna.corriere.it
99,emilia_romagna,www.ilbologna.com
100,emilia_romagna,www.provincia.bologna.it
101,emilia_romagna,www.bolognatoday.it
102,emilia_romagna,www.comune.bologna.it
103,emilia_romagna,bologna.virgilio.it
104,emilia_romagna,www.bolognanews.net
105,emilia_romagna,www.bolognafc.it
106,emilia_romagna,www.tuttobolognaweb.it
107,emilia_romagna,www.corriereromagna.it
108,emilia_romagna,www.imolaoggi.it
109,emilia_romagna,gazzettadimodena.repubblica.it
110,emilia_romagna,www.gazzettadimodena.it
111,emilia_romagna,www.gazzettadimantova.it
112,emilia_romagna,www.omniway.sm
113,emilia_romagna,www.lavoce-srl.it
114,emilia_romagna,www.chiamamicitta.com
115,emilia_romagna,ilnuovo.redaweb.it
116,emilia_romagna,www.gazzettadireggio.it
117,emilia_romagna,www.romagnaoggi.it
118,emilia_romagna,www.gazzettadiparma.it
119,emilia_romagna,www.lanuovaferrara.it
120,emilia_romagna,www.lapiazza.rn.it
121,emilia_romagna,www.emilianet.it
122,friuli,www.ilpiccolo.it
123,friuli,www.ilfriuli.it
124,friuli,www.nuovofriuli.com
125,friuli,www.ilquotidianofvg.it
126,friuli,www.gazzetta.it
127,friuli,www.tuttoudinese.it
128,friuli,www.ilgazzettino.it
129,friuli,www.ilgazzettino.it
130,friuli,www.triesteprima.it
131,friuli,www.triesteallnews.it
132,friuli,trieste.diariodelweb.it
133,friuli,www.ilgazzettino.it
134,friuli,messaggeroveneto.gelocal.it
135,friuli,www.udinetoday.it
136,friuli,messaggeroveneto.gelocal.it
137,friuli,udine.diariodelweb.it
138,friuli,www.gazzetta.it
139,friuli,www.ilgazzettino.it
140,friuli,gorizia.diariodelweb.it
141,friuli,247.libero.it
142,friuli,gorizia.virgilio.it
143,friuli,www.ilgazzettino.it
144,friuli,www.ilgazzettino.it
145,friuli,www.pordenoneoggi.it
146,friuli,pordenone.virgilio.it
147,friuli,messaggeroveneto.gelocal.it
148,friuli,www.tuttopordenone.com
149,friuli,www.editfiume.com
150,friuli,www.primorski.it
151,lazio,www.ilmessaggero.it
152,lazio,www.ilmessaggero.it
153,lazio,www.ilmessaggero.it
154,lazio,roma.repubblica.it
155,lazio,www.iltempo.it
156,lazio,www.iltempo.it
157,lazio,www.lacittametropolitana.it
158,lazio,"www.iltempo.it
"
159,lazio,www.iltempo.it
160,lazio,www.metronews.it
161,lazio,roma.corriere.it
162,lazio,www.opinione.it
163,lazio,www.romatoday.it
164,lazio,www.gazzetta.it
165,lazio,www.gazzetta.it
166,lazio,www.ilmessaggero.it
167,lazio,www.ilmessaggero.it
168,lazio,www.ilmessaggero.it
169,lazio,www.ilmessaggero.it
170,lazio,www.cronachecittadine.it
171,lazio,www.repubblica.it
172,lazio,www.repubblica.it
173,lazio,www.repubblica.it
174,lazio,www.repubblica.it
175,lazio,www.castelliromaninews.it
176,lazio,www.giornaledellazio.it
177,lazio,www.ilgiornale.it
178,lazio,www.ilgranchio.it
179,lazio,www.ontuscia.it
180,liguria,genova.repubblica.it
181,liguria,www.ilsecoloxix.it
182,liguria,www.genova24.it
183,liguria,www.genovatoday.it
184,liguria,www.genovapost.com
185,liguria,www.genova3000.it
186,liguria,www.primocanale.it
187,liguria,www.gazzetta.it
188,liguria,www.sampnews24.com
189,liguria,www.sampdorianews.net
190,liguria,www.sampdoria.it
191,liguria,www.gazzetta.it
192,liguria,www.pianetagenoa1893.net
193,liguria,www.genoanews1893.it
194,liguria,gazzanet.gazzetta.it
195,liguria,www.ilsecoloxix.it
196,liguria,www.liguriaoggi.it
197,liguria,www.ligurianotizie.it
198,liguria,www.liguria24.it
199,liguria,www.ligurianews.com
200,liguria,www.ilgiornaledellaliguria.it
201,liguria,www.primocanale.it
202,liguria,www.levantenews.it
203,liguria,notizie.tiscali.it
204,liguria,www.ligurianautica.com
205,liguria,it.geosnews.com
206,liguria,www.riviera24.it
207,liguria,www.ecodisavona.it
208,liguria,www.savonanews.it
209,liguria,www.lastampa.it
210,liguria,www.lastampa.it
211,liguria,www.imperiapost.it
212,liguria,www.imperianews.it
213,liguria,www.lanazione.it
214,liguria,www.cittadellaspezia.com
215,liguria,www.ilsecoloxix.it
216,liguria,laspezia.cronaca4.it
217,liguria,www.primocanale.it
218,liguria,www.laspeziaoggi.it
219,liguria,www.avvmar.it
220,lombardia,www.corriere.it
221,lombardia,www.ilgiorno.it
222,lombardia,milano.repubblica.it
223,lombardia,www.ilgiornale.it
224,lombardia,www.ilgiornale.it
225,lombardia,www.ilsole24ore.com
226,lombardia,www.metronews.it
227,lombardia,vivimilano.corriere.it
228,lombardia,milano.corriere.it
229,lombardia,www.ilfoglio.it
230,lombardia,www.settegiorni.it
231,lombardia,www.liberoquotidiano.it
232,lombardia,www.lamartesana.it
233,lombardia,www.ilfattoquotidiano.it
234,lombardia,www.milanopost.info
235,lombardia,www.gazzetta.it
236,lombardia,www.fcinternews.it
237,lombardia,www.gazzetta.it
238,lombardia,www.milannews.it
239,lombardia,www.giornaledimonza.it
240,lombardia,www.mbnews.it
241,lombardia,www.ilcittadinomb.it
242,lombardia,www.ilgiorno.it
243,lombardia,www.giornaledivimercate.it
244,lombardia,www.giornaledicarate.it
245,lombardia,www.giornaledicantu.it
246,lombardia,www.brianze.it
247,marche,www.ilrestodelcarlino.it
248,marche,www.picenooggi.it
249,marche,www.corriereadriatico.it
250,marche,www.ilquotidiano.it
251,marche,www.ilrestodelcarlino.it
252,marche,www.ilrestodelcarlino.it
253,marche,www.ilrestodelcarlino.it
254,marche,www.ilpesaro.it
255,marche,www.corriereannunci.it
256,marche,www.ilrestodelcarlino.it
257,marche,www.ilrestodelcarlino.it
258,marche,www.ilrestodelcarlino.it
259,marche,www.ascolinotizie.it
260,marche,ifg.uniurb.it
261,marche,www.cronachemaceratesi.it
262,marche,fm.ilquotidiano.it
263,marche,www.gomarche.it
264,marche,www.pesarourbinonotizie.it
265,marche,www.viverecivitanova.it
266,marche,www.fanoinforma.it
267,marche,www.occhioallanotizia.it
268,molise,www.ilgiornaledelmolise.it
269,molise,www.quotidianomolise.com
270,molise,www.primonumero.it
271,molise,www.termolionline.it
272,molise,"www.termoli.tv
"
273,molise,www.informamolise.com
274,molise,www.ilnuovomolise.it
275,molise,www.futuromolise.net
276,molise,www.mytermoli.com
277,molise,www.isernianews.it
278,molise,www.altomolise.net
279,molise,www.ecoaltomolise.net
280,molise,www.primopianomolise.it
281,molise,www.moliseweb.it
282,molise,www.molisenews24.it
283,molise,www.ilfattoquotidiano.it
284,molise,www.lagazzettadelmolise.it
285,molise,www.molisetabloid.it
286,molise,www.molisetoday.it
287,molise,www.molisenetwork.net
288,molise,www.ilmolise.net
289,molise,www.ilsannioquotidiano.it
290,piemonte,www.lastampa.it
291,piemonte,torino.repubblica.it
292,piemonte,www.lanuovavoce.it
293,piemonte,www.torinonotizie.it
294,piemonte,www.tuttosport.com
295,piemonte,torino.corriere.it
296,piemonte,www.torinoggi.it
297,piemonte,www.torinotoday.it
298,piemonte,www.gazzettatorino.it
299,piemonte,www.cronacaqui.it
300,piemonte,www.comune.torino.it
301,piemonte,www.metronews.it
302,piemonte,www.nuovasocieta.it
303,piemonte,www.iltorinese.it
304,piemonte,www.ivg.it
305,piemonte,www.torinosportiva.it
306,piemonte,www.torinosud.it
307,piemonte,www.gazzetta.it
308,piemonte,www.juventus.com
309,piemonte,www.gazzetta.it
310,piemonte,torinofc.it
311,piemonte,www.ilgiornaledelpiemonte.com
312,piemonte,piemonteoggi.it
313,piemonte,www.giornalelavoce.it
314,piemonte,www.cinturaovest.it
315,piemonte,www.quotidianopiemontese.it
316,piemonte,www.notiziepiemonte.it
317,piemonte,piemonte.checambia.org
318,piemonte,langheroeromonferrato.net
319,piemonte,lasentinella.repubblica.it
320,piemonte,www.stpauls.it
321,piemonte,www.sprintesport.it
322,piemonte,www.corrierechieri.it
323,piemonte,www.ilcanavese.it
324,piemonte,"www.ivg.it
"
325,piemonte,www.ilmercoledi.it
326,piemonte,www.settimanalemonviso.it
327,puglia,"www.lagazzettadelmezzogiorno.it
"
328,puglia,www.lagazzettadelmezzogiorno.it
329,puglia,www.lagazzettadelmezzogiorno.it
330,puglia,www.traniweb.it
331,puglia,bari.repubblica.it
332,puglia,www.repubblica.it
333,puglia,fcbari1908.com
334,puglia,www.repubblica.it
335,puglia,www.repubblica.it
336,puglia,www.repubblica.it
337,puglia,www.repubblica.it
338,puglia,www.baritoday.it
339,puglia,www.bat24ore.it
340,puglia,corrieredelmezzogiorno.corriere.it
341,puglia,corrieredelmezzogiorno.corriere.it
342,puglia,www.quotidianodibari.it
343,puglia,www.brindisisera.it
344,puglia,www.brindisitg24.it
345,puglia,www.puglianews24.eu
346,puglia,www.capitanata.it
347,puglia,www.calciofoggia.it
348,puglia,www.daunianews.it
349,puglia,www.andrialive.it
350,toscana,www.lanazione.it
351,toscana,"www.ilgiornaledellatoscana.it
"
352,toscana,www.toscanaoggi.it
353,toscana,"iltirreno.gelocal.it
"
354,toscana,www.gonews.it
355,toscana,www.quinews.net
356,toscana,www.toscanamedianews.it
357,toscana,www.toscana-notizie.it
358,toscana,www.toscanacultura.it
359,toscana,"www.letruria.it
"
360,toscana,www.lanazione.it
361,toscana,corrierefiorentino.corriere.it
362,toscana,www.mclink.it
363,toscana,www.gazzetta.it
364,toscana,firenze.repubblica.it
365,toscana,www.altracitta.org
366,toscana,www.ilgiornale.it
367,toscana,www.agipress.it
368,toscana,www.firenzetoday.it
369,toscana,www.nove.firenze.it
370,toscana,www.quinewsfirenze.it
371,toscana,www.firenzepost.it
372,toscana,www.ilreporter.it
373,toscana,www.ilsitodifirenze.it
374,toscana,www.altracitta.org
375,trentino,www.ladige.it
376,trentino,www.giornaletrentino.it
377,trentino,www.vitatrentina.it
378,trentino,www.lavocedeltrentino.it
379,trentino,www.questotrentino.it
380,trentino,www.trentotoday.it
381,trentino,www.altoadige.it
382,trentino,trento.virgilio.it
383,trentino,www.ildolomiti.it
384,trentino,www.stol.it
385,trentino,www.ilgazzettino.it
386,trentino,bolzano.virgilio.it
387,trentino,www.settimanalemonviso.it
388,trentino,www.vocepinerolese.it
389,trentino,pinerolo.virgilio.it
390,trentino,www.lagenda.news
391,trentino,www.valseriananews.it
392,sicilia,www.lasicilia.it
393,sicilia,www.gds.it
394,sicilia,www.gazzettadelsud.it
395,sicilia,palermocalcio.it
396,sicilia,corrieredelmezzogiorno.corriere.it
397,sicilia,palermo.repubblica.it
398,sicilia,www.centonove.it
399,sicilia,www.gazzettadelsud.it
400,sicilia,www.quotidianodisicilia.it
401,sicilia,www.girodivite.it
402,sicilia,laprovinciamessina.it
403,sicilia,www.lafrecciaverde.it
404,sicilia,www.prospettiveonline.it
405,sicilia,palermo.gds.it
406,sicilia,www.palermomania.it
407,sicilia,www.si24.it
408,sicilia,www.messinaora.it
409,sicilia,www.sicilia24h.it
410,sicilia,www.tempostretto.it
411,sicilia,www.messinaoggi.it
412,sicilia,www.normanno.com
413,sicilia,www.ilcittadinodimessina.it
414,sicilia,livesicilia.it
415,sicilia,agrigento.gds.it
416,sicilia,livesicilia.it
417,sardegna,www.lanuovasardegna.it
418,sardegna,www.unionesarda.it
419,sardegna,lanuovasardegna.gelocal.it
420,sardegna,www.gazzetta.it
421,sardegna,www.castedduonline.it
422,sardegna,www.sardegnaoggi.it
423,sardegna,sardegnareporter.it
424,sardegna,www.sardiniapost.it
425,sardegna,www.sassarinotizie.com
426,sardegna,www.ilmessaggerosardo.com
427,sardegna,sassari.virgilio.it
428,sardegna,lanuovasardegna.gelocal.it
429,sardegna,nuoro.unionesarda.it
430,sardegna,www.olbianova.it
431,sardegna,www.olbia.it
432,sardegna,www.olbianotizie.it
433,sardegna,www.aolbia.it
434,sardegna,lanuovasardegna.gelocal.it
435,sardegna,www.vistanet.it
436,sardegna,www.laprovinciadelsulcisiglesiente.com
437,sardegna,www.gazzettadelsulcis.it
438,sardegna,lanuovasardegna.gelocal.it
439,sardegna,www.lagazzetta.eu
440,sardegna,www.villacidro.info
441,sardegna,www.alguer.it
442,umbria,corrieredellumbria.corr.it
443,umbria,www.lanazione.it
444,umbria,www.lavoce.it
445,umbria,www.giornaledellumbria.it
446,umbria,www.acperugiacalcio.com
447,umbria,www.inumbria.it
448,umbria,www.perugia24.net
449,umbria,www.inumbria.it
450,umbria,www.umbriajournal.com
451,umbria,www.iltamtam.it
452,umbria,www.lagoccia.eu
453,umbria,www.ilmessaggero.it
454,umbria,tuttoggi.info
455,umbria,www.quotidianodellumbria.it
456,umbria,www.umbria24.it
457,umbria,www.giornaledellumbria.it
458,umbria,www.ternioggi.it
459,umbria,corrieredellumbria.corr.it
460,umbria,www.ilmessaggero.it
461,umbria,www.gazzettadifoligno.it
462,umbria,www.perugiaonline.net
463,umbria,"www.perugiatoday.it
"
464,valle_d_aosta,edizioni.lastampa.it
465,valle_d_aosta,www.valledaostaglocal.it
466,valle_d_aosta,lavallee.netweek.it
467,valle_d_aosta,www.gazzettamatin.com
468,valle_d_aosta,www.aostanews24.it
469,valle_d_aosta,aostasports.it
470,valle_d_aosta,www.esspress.it
471,valle_d_aosta,www.regione.vda.it
472,valle_d_aosta,www.aostacronaca.it
473,valle_d_aosta,aosta.virgilio.it
474,valle_d_aosta,lasentinella.gelocal.it
475,veneto,www.gazzettino.it
476,veneto,www.ilgazzettino.it
477,veneto,www.larena.it
478,veneto,www.messaggeroveneto.it
479,veneto,corrieredelveneto.corriere.it
480,veneto,www.nuovavenezia.it
481,veneto,www.gazzetta.it
482,veneto,www.raixevenete.net
483,veneto,www.tribunatreviso.it
484,veneto,tribunatreviso.gelocal.it
485,veneto,www.iltreviso.it
486,veneto,www.nuovavenezia.it
487,veneto,mattinopadova.gelocal.it
488,veneto,www.ilpadova.it
489,veneto,www.corrierealpi.it
490,veneto,www.ilgiornaledivicenza.it
491,veneto,labos.valtellina.net
492,veneto,www.nuovavenezia.it
493,veneto,www.ilverona.it
494,veneto,www.ilvenezia.it
495,veneto,www.ilmestre.it
496,veneto,www.ilvicenza.it
497,veneto,www.oggitreviso.it
498,veneto,www.lavitadelpopolo.it
499,veneto,www.difesapopolo.it
500,veneto,www.lazione.it
